time,low,high,open,close,vol
2025-11-19 13:15:00+00:00,91512.62,91736.27,91537.99,91720.0,70.86522333
2025-11-19 13:30:00+00:00,91281.99,91838.32,91722.03,91421.72,122.71808771
2025-11-19 13:45:00+00:00,91175.09,91483.97,91421.73,91337.31,206.48629974
2025-11-19 14:00:00+00:00,91067.03,91467.87,91339.46,91417.18,191.309823
2025-11-19 14:15:00+00:00,90982.03,91445.34,91417.18,91056.0,200.08014597
2025-11-19 14:30:00+00:00,91035.5,91805.9,91057.12,91730.03,358.60697471
2025-11-19 14:45:00+00:00,91431.4,91814.63,91730.05,91666.02,199.02892413
2025-11-19 15:00:00+00:00,91628.61,92269.99,91666.02,91974.01,400.40807102
2025-11-19 15:15:00+00:00,91070.28,92358.27,91974.82,91179.86,323.38705864
2025-11-19 15:30:00+00:00,90504.0,91194.53,91183.21,90640.0,228.0370758
2025-11-19 15:45:00+00:00,89793.0,90640.0,90640.0,89876.91,441.77821649
2025-11-19 16:00:00+00:00,89827.79,90156.45,89870.62,90058.01,280.57080197
2025-11-19 16:15:00+00:00,89526.97,90165.02,90058.0,89625.99,318.47165338
2025-11-19 16:30:00+00:00,89377.68,89794.48,89625.99,89634.64,282.20012312
2025-11-19 16:45:00+00:00,89384.66,89874.18,89638.0,89833.03,308.29988062
2025-11-19 17:00:00+00:00,89252.0,90067.0,89828.09,89267.99,339.66491254
2025-11-19 17:15:00+00:00,89204.65,89579.07,89268.0,89440.0,202.04901715
2025-11-19 17:30:00+00:00,88800.0,89502.26,89441.69,89245.51,540.27504627
2025-11-19 17:45:00+00:00,89000.0,89488.02,89245.52,89422.1,227.25140877
2025-11-19 18:00:00+00:00,89219.04,89636.58,89422.1,89568.01,210.5764
2025-11-19 18:15:00+00:00,88735.08,89623.16,89568.01,88963.99,301.33811889
2025-11-19 18:30:00+00:00,88650.28,89213.83,88969.46,88811.0,331.93185741
2025-11-19 18:45:00+00:00,88684.97,89187.93,88811.93,89140.0,210.88634875
2025-11-19 19:00:00+00:00,88902.0,89275.86,89136.43,89055.57,194.99318974
2025-11-19 19:15:00+00:00,88748.0,89103.3,89053.58,88845.38,135.52106868
2025-11-19 19:30:00+00:00,88555.0,88913.88,88845.38,88605.88,259.27810427
2025-11-19 19:45:00+00:00,88520.0,88998.51,88605.87,88783.08,196.99975021
2025-11-19 20:00:00+00:00,88483.12,88819.92,88783.07,88616.49,255.84225201
2025-11-19 20:15:00+00:00,88616.49,89290.0,88616.49,89290.0,166.48087632
2025-11-19 20:30:00+00:00,89006.58,89417.99,89289.99,89081.39,160.58567912
2025-11-19 20:45:00+00:00,88982.38,89587.25,89081.39,89413.61,218.84803316
2025-11-19 21:00:00+00:00,89341.91,89854.63,89417.65,89592.43,186.67534596
2025-11-19 21:15:00+00:00,89530.0,90750.17,89596.55,90009.99,437.61634695
2025-11-19 21:30:00+00:00,89949.61,90547.58,90003.99,90417.39,263.69246831
2025-11-19 21:45:00+00:00,90300.23,90668.31,90413.67,90503.89,189.2056127
2025-11-19 22:00:00+00:00,90243.8,90547.04,90503.88,90243.8,153.3344002
2025-11-19 22:15:00+00:00,90000.0,90550.0,90243.79,90488.01,147.23755855
2025-11-19 22:30:00+00:00,90287.08,90550.05,90486.92,90421.12,78.68883632
2025-11-19 22:45:00+00:00,90242.61,90459.99,90421.12,90384.83,65.2400229
2025-11-19 23:00:00+00:00,90362.79,91287.96,90384.83,91228.03,264.39758796
2025-11-19 23:15:00+00:00,91100.0,91450.0,91228.03,91303.7,207.05284271
2025-11-19 23:30:00+00:00,91163.46,91414.04,91303.7,91196.0,94.22116875
2025-11-19 23:45:00+00:00,91172.67,91516.29,91196.0,91461.6,143.86983234
