time,funding
2026-04-10 16:00:00+00:00,3.563e-05
2026-04-11 00:00:00+00:00,3.328e-05
2026-04-11 08:00:00+00:00,6.516e-05
2026-04-11 16:00:00+00:00,-7.54e-06
2026-04-12 00:00:00+00:00,9.038e-05
2026-04-12 08:00:00+00:00,-4.348e-05
2026-04-12 16:00:00+00:00,-8.203e-05
2026-04-13 00:00:00+00:00,-2.077e-05
2026-04-13 08:00:00+00:00,-7.86e-06
2026-04-13 16:00:00+00:00,2.299e-05
2026-04-14 00:00:00+00:00,8.502e-05
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,3.96e-05
2026-04-15 00:00:00+00:00,-7.969e-05
2026-04-15 08:00:00+00:00,1.34e-05
2026-04-15 16:00:00+00:00,-5.25e-06
2026-04-16 00:00:00+00:00,7.443e-05
2026-04-16 08:00:00+00:00,-4.8e-06
2026-04-16 16:00:00+00:00,-6.616e-05
2026-04-17 00:00:00+00:00,5.099e-05
2026-04-17 08:00:00+00:00,-4.022e-05
2026-04-17 16:00:00+00:00,1.083e-05
2026-04-18 00:00:00+00:00,-0.00016286
2026-04-18 08:00:00+00:00,-0.00011193
2026-04-18 16:00:00+00:00,-0.00013025
2026-04-19 00:00:00+00:00,-0.000116
2026-04-19 08:00:00+00:00,-9.59e-05
2026-04-19 16:00:00+00:00,-7.638e-05
2026-04-20 00:00:00+00:00,-1.194e-05
2026-04-20 08:00:00+00:00,-4.987e-05
2026-04-20 16:00:00+00:00,2.374e-05
2026-04-21 00:00:00+00:00,-0.00010327
2026-04-21 08:00:00+00:00,-5.988e-05
2026-04-21 16:00:00+00:00,-6.756e-05
2026-04-22 00:00:00+00:00,3.33e-06
2026-04-22 08:00:00+00:00,4.234e-05
2026-04-22 16:00:00+00:00,8.56e-06
2026-04-23 00:00:00+00:00,-3.86e-05
2026-04-23 08:00:00+00:00,1.709e-05
2026-04-23 16:00:00+00:00,-5.031e-05
2026-04-24 00:00:00+00:00,-2.068e-05
2026-04-24 08:00:00+00:00,-5.994e-05
2026-04-24 16:00:00+00:00,-5.208e-05
2026-04-25 00:00:00+00:00,3.695e-05
2026-04-25 08:00:00+00:00,4.994e-05
2026-04-25 16:00:00+00:00,-2.179e-05
2026-04-26 00:00:00+00:00,9.66e-06
2026-04-26 08:00:00+00:00,-1.541e-05
2026-04-26 16:00:00+00:00,1.56e-05
2026-04-27 00:00:00+00:00,7.9e-07
2026-04-27 08:00:00+00:00,-5.454e-05
2026-04-27 16:00:00+00:00,-5.158e-05
2026-04-28 00:00:00+00:00,-6.621e-05
2026-04-28 08:00:00+00:00,-7.664e-05
2026-04-28 16:00:00+00:00,-4.46e-06
2026-04-29 00:00:00+00:00,1.073e-05
2026-04-29 08:00:00+00:00,4.05e-05
2026-04-29 16:00:00+00:00,-2.069e-05
2026-04-30 00:00:00+00:00,5.104e-05
2026-04-30 08:00:00+00:00,-4.045e-05
2026-04-30 16:00:00+00:00,-1.081e-05
2026-05-01 00:00:00+00:00,3.096e-05
2026-05-01 08:00:00+00:00,2.809e-05
2026-05-01 16:00:00+00:00,-3.742e-05
2026-05-02 00:00:00+00:00,-1.5e-05
2026-05-02 08:00:00+00:00,1.534e-05
2026-05-02 16:00:00+00:00,-4.743e-05
2026-05-03 00:00:00+00:00,4.52e-06
2026-05-03 08:00:00+00:00,1.885e-05
2026-05-03 16:00:00+00:00,5.71e-06
2026-05-04 00:00:00+00:00,-6.48e-06
2026-05-04 08:00:00+00:00,1.456e-05
2026-05-04 16:00:00+00:00,-4.032e-05
2026-05-05 00:00:00+00:00,-1.497e-05
2026-05-05 08:00:00+00:00,5.1e-05
2026-05-05 16:00:00+00:00,9.11e-06
2026-05-06 00:00:00+00:00,-4.583e-05
2026-05-06 08:00:00+00:00,-6.55e-06
2026-05-06 16:00:00+00:00,-2.97e-05
2026-05-07 00:00:00+00:00,-2.573e-05
2026-05-07 08:00:00+00:00,2.163e-05
2026-05-07 16:00:00+00:00,2.77e-06
2026-05-08 00:00:00+00:00,5.133e-05
2026-05-08 08:00:00+00:00,5.776e-05
2026-05-08 16:00:00+00:00,2.74e-06
2026-05-09 00:00:00+00:00,9.378e-05
2026-05-09 08:00:00+00:00,3.951e-05
2026-05-09 16:00:00+00:00,2.766e-05
2026-05-10 00:00:00+00:00,2.816e-05
2026-05-10 08:00:00+00:00,7.343e-05
2026-05-10 16:00:00+00:00,8.374e-05
2026-05-11 00:00:00+00:00,4.964e-05
2026-05-11 08:00:00+00:00,6.713e-05
2026-05-11 16:00:00+00:00,-8.6e-07
2026-05-12 00:00:00+00:00,3.383e-05
2026-05-12 08:00:00+00:00,-5.172e-05
2026-05-12 16:00:00+00:00,-8.61e-06
2026-05-13 00:00:00+00:00,2.05e-05
2026-05-13 08:00:00+00:00,8.282e-05
2026-05-13 16:00:00+00:00,-3.576e-05
2026-05-14 00:00:00+00:00,5.973e-05
2026-05-14 08:00:00+00:00,3.788e-05
2026-05-14 16:00:00+00:00,4.135e-05
2026-05-15 00:00:00+00:00,2.435e-05
2026-05-15 08:00:00+00:00,-3.529e-05
2026-05-15 16:00:00+00:00,3.393e-05
2026-05-16 00:00:00+00:00,6.383e-05
2026-05-16 08:00:00+00:00,2.276e-05
2026-05-16 16:00:00+00:00,4.977e-05
2026-05-17 00:00:00+00:00,6.966e-05
2026-05-17 08:00:00+00:00,4.802e-05
2026-05-17 16:00:00+00:00,7.246e-05
2026-05-18 00:00:00+00:00,-6.29e-06
2026-05-18 08:00:00+00:00,1.588e-05
2026-05-18 16:00:00+00:00,-2.562e-05
2026-05-19 00:00:00+00:00,6.923e-05
2026-05-19 08:00:00+00:00,1.834e-05
2026-05-19 16:00:00+00:00,5.843e-05
2026-05-20 00:00:00+00:00,6.206e-05
2026-05-20 08:00:00+00:00,4.389e-05
2026-05-20 16:00:00+00:00,5.126e-05
2026-05-21 00:00:00+00:00,3.736e-05
2026-05-21 08:00:00+00:00,3.763e-05
2026-05-21 16:00:00+00:00,5.692e-05
2026-05-22 00:00:00+00:00,4.26e-05
2026-05-22 08:00:00+00:00,4.028e-05
2026-05-22 16:00:00+00:00,7.759e-05
2026-05-23 00:00:00+00:00,6.956e-05
2026-05-23 08:00:00+00:00,1.807e-05
2026-05-23 16:00:00+00:00,6.454e-05
2026-05-24 00:00:00+00:00,3.141e-05
2026-05-24 08:00:00+00:00,8.799e-05
2026-05-24 16:00:00+00:00,5.118e-05
2026-05-25 00:00:00+00:00,5.137e-05
2026-05-25 08:00:00+00:00,6.128e-05
2026-05-25 16:00:00+00:00,8.183e-05
2026-05-26 00:00:00+00:00,5.8e-05
2026-05-26 08:00:00+00:00,-1.269e-05
2026-05-26 16:00:00+00:00,2.548e-05
2026-05-27 00:00:00+00:00,1.199e-05
2026-05-27 08:00:00+00:00,-3.378e-05
2026-05-27 16:00:00+00:00,9.37e-06
2026-05-28 00:00:00+00:00,-2.073e-05
2026-05-28 08:00:00+00:00,-0.00012556
2026-05-28 16:00:00+00:00,2.27e-05
2026-05-29 00:00:00+00:00,4.72e-05
2026-05-29 08:00:00+00:00,5.621e-05
