ts,city,target,gfs_max,ens_mean,ens_std,ecmwf_max
2026-09-05T18:36:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:36:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:36:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:37:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:37:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:37:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:37:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:38:44+00:00,NYC,2026-09-05,79.9,81.93225806451613,1.3145309716161842,
2026-09-05T18:38:46+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:38:49+00:00,CHI,2026-09-05,80.4,82.80967741935486,1.7678773199864213,
2026-09-05T18:38:51+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:39:15+00:00,NYC,2026-09-05,79.9,81.93225806451613,1.3145309716161842,
2026-09-05T18:39:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:39:19+00:00,CHI,2026-09-05,80.4,82.80967741935486,1.7678773199864213,
2026-09-05T18:39:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:40:15+00:00,NYC,2026-09-05,79.9,81.93225806451613,1.3145309716161842,
2026-09-05T18:40:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:40:19+00:00,CHI,2026-09-05,80.4,82.80967741935486,1.7678773199864213,
2026-09-05T18:40:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:41:15+00:00,NYC,2026-09-05,79.9,81.93225806451613,1.3145309716161842,
